taxon,year
anas bernicla,1758
medusa beroe,1758
coluber berus,1758
aphis betulae,1758
attelabus betulae,1758
chermes betulae,1758
chrysomela betulae,1758
cimex betulae,1758
coccus betulae,1758
curculio betulae,1758
papilio betulae,1758
tenthredo betulae,1758
phalaena betularia,1758
conus betulinus,1758
cervus bezoarticus,1758
parus biarmicus,1758
pavo bicalcaratus,1758
lacerta bicarinata,1758
ostracion bicaudalis,1758
phryganea bicaudata,1758
musca bicincta,1758
cimex bicolor,1758
loxia bicolor,1758
apis bicornis,1758
buceros bicornis,1758
chama bicornis,1758
gryllus bicornis,1758
rhinoceros bicornis,1758
cimex bidens,1758
formica bidens,1758
nerita bidens,1758
turbo bidens,1758
cassida bifasciata,1758
cicada bifasciata,1758
culex bifurcatus,1758
vespa biglumis,1758
cantharis biguttata,1758
cimex biguttatus,1758
staphylinus biguttatus,1758
gryllus biguttulus,1758
phalaena bilineata,1758
phryganea bilineata,1758
anomia biloba,1758
mytilus bilocularis,1758
buprestis bimaculata,1758
phryganea bimaculata,1758
tellina bimaculata,1758
cimex bimaculatus,1758
hister bimaculatus,1758
labrus bimaculatus,1758
salmo bimaculatus,1758
ephemera bioculata,1758
anguis bipes,1758
aranea bipunctata,1758
chrysomela bipunctata,1758
coccinella bipunctata,1758
silpha bipunctata,1758
cimex bipunctatus,1758
curculio bipunctatus,1758
gryllus bipunctatus,1758
cantharis bipustulata,1758
coccinella bipustulata,1758
cimex bipustulatus,1758
bos bison,1758
papilio bixae,1758
cyprinus bjoerkna,1758
blatta,1758
blennius,1758
boa,1758
rana boans,1758
chrysomela boleti,1758
staphylinus boleti,1758
papilio bolina,1758
musca bombylans,1758
sphinx bombyliformis,1758
bombylius,1758
bombyx,1758
tetrao bonasia,1758
bos bonasus,1758
phalaena bonnetella,1758
balaena boops,1758
sparus boops,1758
empis borealis,1758
psittacus borneus,1758
bos,1758
anas boschas,1758
chrysomela bothnica,1758
tabanus bovinus,1758
oestrus bovis,1758
pediculus bovis,1758
medusa brachiata,1758
hystrix brachyura,1758
phalaena bractella,1758
bradypus,1758
cyprinus brama,1758
petromyzon branchialis,1758
murex brandaris,1758
phalaena branderiana,1758
fringilla brasiliana,1758
esox brasiliensis,1758
lepus brasiliensis,1758
psittacus brasiliensis,1758
aphis brassicae,1758
papilio brassicae,1758
phalaena brassicae,1758
tipula brevicornis,1758
tabanus bromius,1758
phalaena brumata,1758
elater brunneus,1758
scarabaeus brunnus,1758
bos bubalis,1758
murex bubo,1758
strix bubo,1758
conops buccata,1758
coluber buccatus,1758
buccinites,1758
buccinum,1758
anas bucephala,1758
phalaena bucephala,1758
buceros,1758
rana bufo,1758
bulla,1758
bulla,1758
lacerta bullaris,1758
